GLCODE|CCY|PARENTBRCA|BRCA|BALANCE|BALANCE_CNY_EQV|SYS_DATE|
4009|CNY||0606|-130000000.000000|-130000000.000000|20180701|
400901|CNY||0606|30000000.000000|30000000.000000|20180701|
400902|CNY||0606|-160000000.000000|-160000000.000000|20180701|
4009|CNY||0608|-100000000.000000|-100000000.000000|20180701|
400902|CNY||0608|-100000000.000000|-100000000.000000|20180701|
4009|CNY||0611|-100000000.000000|-100000000.000000|20180701|
400902|CNY||0611|-100000000.000000|-100000000.000000|20180701|
3001|CNY||0688|-2100000000.000000|-2100000000.000000|20180701|
3001|USD||0688|-139606469.310000|-923720164.840000|20180701|
300101|CNY||0688|-2100000000.000000|-2100000000.000000|20180701|
300101|USD||0688|-139606469.310000|-923720164.840000|20180701|
4009|CNY||0688|330000000.000000|330000000.000000|20180701|
400901|CNY||0688|330000000.000000|330000000.000000|20180701|
3001|CNY||BNK|-2100000000.000000|-2100000000.000000|20180701|
3001|USD||BNK|-139606469.310000|-923720164.840000|20180701|
300101|CNY||BNK|-2100000000.000000|-2100000000.000000|20180701|
300101|USD||BNK|-139606469.310000|-923720164.840000|20180701|
4009|CNY||BNK|0.000000|0.000000|20180701|
400901|CNY||BNK|360000000.000000|360000000.000000|20180701|
400902|CNY||BNK|-360000000.000000|-360000000.000000|20180701|
4009|CNY|0606|0606|-100000000.000000|-100000000.000000|20180701|
400901|CNY|0606|0606|30000000.000000|30000000.000000|20180701|
400902|CNY|0606|0606|-130000000.000000|-130000000.000000|20180701|
4009|CNY|0606|0607|-10000000.000000|-10000000.000000|20180701|
400902|CNY|0606|0607|-10000000.000000|-10000000.000000|20180701|
4009|CNY|0606|0609|-10000000.000000|-10000000.000000|20180701|
400902|CNY|0606|0609|-10000000.000000|-10000000.000000|20180701|
4009|CNY|0606|0613|-10000000.000000|-10000000.000000|20180701|
400902|CNY|0606|0613|-10000000.000000|-10000000.000000|20180701|
4009|CNY|0608|0608|-100000000.000000|-100000000.000000|20180701|
400902|CNY|0608|0608|-100000000.000000|-100000000.000000|20180701|
4009|CNY|0611|0611|-100000000.000000|-100000000.000000|20180701|
400902|CNY|0611|0611|-100000000.000000|-100000000.000000|20180701|
3001|CNY|0688||-2100000000.000000|-2100000000.000000|20180701|
3001|USD|0688||-139606469.310000|-923720164.840000|20180701|
300101|CNY|0688||-2100000000.000000|-2100000000.000000|20180701|
300101|USD|0688||-139606469.310000|-923720164.840000|20180701|
4009|CNY|0688||330000000.000000|330000000.000000|20180701|
400901|CNY|0688||330000000.000000|330000000.000000|20180701|
