DATE|CCY|EXCHANGERATE_BUY|EXCHANGERATE_MID|EXCHANGERATE_SELL|EXCHANGEMETHOD|RATETYPE|
20180702|AUD|4.8633|4.8633|4.8633|M|1|
20180702|AUD|4.79208789|4.85287642|4.91366495|M|10|
20180702|AUD|4.8633|4.8633|4.8633|M|2|
20180702|AUD|4.8633|4.8633|4.8633|M|11|
20180702|AUD|4.8896|4.892|4.8944|M|12|
20180702|AUD|4.87032606|4.891995505|4.91366495|M|29|
20180702|CAD|6.7654|6.7926|6.8198|M|1|
20180702|CAD|6.5481|6.68395|6.8198|M|10|
20180702|CHF|6.27|6.295|6.32|M|1|
20180702|CHF|6.0742|6.2002|6.3262|M|10|
20180702|CNH|0.9991|1|1.0009|M|1|
20180702|CNH|0.9991|1|1.0009|M|10|
20180702|CNY|1|1|1|M|1|
20180702|CNY|1|1|1|M|10|
20180702|CNY|1|1|1|M|2|
20180702|CNY|1|1|1|M|4|
20180702|CNY|1|1|1|M|11|
20180702|CNY|1|1|1|M|12|
20180702|CNY|1|1|1|M|29|
20180702|DKK|1.2099|1.21475|1.2196|M|1|
20180702|DKK|1.171|1.1953|1.2196|M|10|
20180702|EUR|7.6515|7.6515|7.6515|M|1|
20180702|EUR|7.55413557|7.649718925|7.74530228|M|10|
20180702|EUR|7.6515|7.6515|7.6515|M|2|
20180702|EUR|7.6515|7.6515|7.6515|M|11|
20180702|EUR|7.7078|7.71135|7.7149|M|12|
20180702|EUR|7.67746839|7.711385335|7.74530228|M|29|
20180702|GBP|8.6551|8.6551|8.6551|M|1|
20180702|GBP|8.53900656|8.646546045|8.75408553|M|10|
20180702|GBP|8.6551|8.6551|8.6551|M|2|
20180702|GBP|8.6551|8.6551|8.6551|M|11|
20180702|GBP|8.7127|8.7162|8.7197|M|12|
20180702|GBP|8.67841891|8.71625222|8.75408553|M|29|
20180702|HKD|0.8431|0.8431|0.8431|M|1|
20180702|HKD|0.82630439|0.83663592|0.84696745|M|10|
20180702|HKD|0.8431|0.8431|0.8431|M|2|
20180702|HKD|0.8431|0.8431|0.8431|M|11|
20180702|HKD|0.84312|0.84338|0.84364|M|12|
20180702|HKD|0.83979507|0.84338126|0.84696745|M|29|
20180702|JPY|0.059914|0.059914|0.059914|M|1|
20180702|JPY|0.05854867|0.059287325|0.06002598|M|10|
20180702|JPY|0.059914|0.059914|0.059914|M|2|
20180702|JPY|0.059914|0.059914|0.059914|M|11|
20180702|JPY|0.05974|0.059765|0.05979|M|12|
20180702|JPY|0.05950457|0.059765275|0.06002598|M|29|
20180702|MYR|1.8596|1.8661|1.8726|M|1|
20180702|MYR|1.8596|1.8661|1.8726|M|10|
20180702|NOK|1.1493|1.15395|1.1586|M|1|
20180702|NOK|1.1124|1.1355|1.1586|M|10|
20180702|NZD|4.4704|4.4704|4.4704|M|1|
20180702|NZD|4.38685789|4.443254845|4.4996518|M|10|
20180702|NZD|4.4704|4.4704|4.4704|M|2|
20180702|NZD|4.4704|4.4704|4.4704|M|11|
20180702|NZD|4.4761|4.47905|4.482|M|12|
20180702|NZD|4.45848006|4.47906593|4.4996518|M|29|
20180702|RUB|0.1408|0.1436|0.1464|M|1|
20180702|RUB|0.1454|0.1459|0.1464|M|10|
20180702|SEK|0.9387|0.94245|0.9462|M|1|
20180702|SEK|0.9085|0.92735|0.9462|M|10|
20180702|SGD|5.2561|5.2772|5.2983|M|1|
20180702|SGD|5.2561|5.2772|5.2983|M|10|
20180702|THB|0.1822|0.18585|0.1895|M|1|
20180702|TWD|4.6096|4.6096|4.6096|D|1|
20180702|TWD|4.78255|4.78255|4.78255|D|10|
20180702|TWD|4.6096|4.6096|4.6096|D|2|
20180702|TWD|4.78255|4.78255|4.78255|D|11|
20180702|TWD|4.78255|4.78255|4.78255|D|12|
20180702|TWD|4.78255|4.78255|4.78255|D|29|
20180702|USD|6.6166|6.6166|6.6166|M|1|
20180702|USD|6.54984|6.5943485|6.638857|M|10|
20180702|USD|6.6166|6.6166|6.6166|M|2|
20180702|USD|6.6166|6.6166|6.6166|M|11|
20180702|USD|6.6156|6.6175|6.6194|M|12|
20180702|USD|6.596152|6.6175045|6.638857|M|29|
20180702|XAU|75.2714|75.2714|75.2714|M|1|
20180702|ZAR|0.5302|0.54575|0.5613|M|1|
20180702|ZAR|0.5573|0.5593|0.5613|M|10|
