LCNO|TRAT|GTYPEA|GTYPEB|CTNM|CSNM|RESC|ISDT|BEFC|MALC|LCCR|LCAM|LCTE|COMS|OCMS|CNLOBS|GRTC|LINE_CODE|FTYP|FCCY|FCAM|BRCA|PARENTBRCA|BRCA_CO|UNEARN_FEE|CUST_AGRNO|BANK_PAY_FLG|ORIG_LCAM|SYS_DATE|
MD1612035297|备用信用证|001||东山东毅食品有限公司|1001420||20160415|||CNY|16000000.000000|20181015|,||1001420.0003042.01.01||3042.01|循环综授－备用信用证|CNY|80000000.000000||0606|0606|0.000000|2016开保字第00003号|2|16000000|20180702|
MD1612042133|备用信用证|001||东山东毅食品有限公司|1001420||20160301|||CNY|20000000.000000|20181201|,||1001420.0003042.01.01||3042.01|循环综授－备用信用证|CNY|80000000.000000||0606|0606|0.000000|2016开保字第00003号|2|20000000|20180702|
MD1612076506|备用信用证|001||青岛春喜硬木制造有限公司|1000967||20160104|||CNY|13800000.000000|20190104|,||1000967.0003042.02.01||3042.02|循环综授－备用信用证|CNY|32000000.000000||0608|0608|0.000000|青2015开保字第00010号|2|13800000|20180702|
MD1612076798|备用信用证|001||东莞玮光礼品有限公司|1001399||20160310|||USD|850000.000000|20190310|,||1001399.0003042.01.01||3042.01|循环综授－备用信用证|CNY|10000000.000000||0606|0606|0.000000|2015开保字第00235号|2|850000|20180702|
MD1612079147|备用信用证|001||合盈光电（深圳）有限公司|1001343||20160307|||CNY|13700000.000000|20181023|,||1001343.0003042.02.01||3042.02|循环综授－备用信用证|CNY|18000000.000000||0606|0606|0.000000|2015开保字第00169号|2|13700000|20180702|
MD1612080182|备用信用证|001||东山东毅食品有限公司|1001420||20160412|||CNY|10000000.000000|20181012|,||1001420.0003042.01.01||3042.01|循环综授－备用信用证|CNY|80000000.000000||0606|0606|0.000000|2016开保字第00003号|2|10000000|20180702|
MD1620326594|收到保函|||台湾新光商业银行|9000079||20160721|1000026||USD|500000.000000|20170721||||||||||0606|0606|0.000000||2|500000.00|20180702|
MD1621500449|收到保函|||国泰世华银行境外金融中心|9000077||20160801|1000938||CNY|3000000.000000|20170731||||||||||0606|0606|0.000000||2|3000000.00|20180702|
MD1626762056|备用信用证|001||创姿服饰（上海）有限公司|1001191|A|20160923|9000032||CNY|2300000.000000|20180923|,||1001191.0003042.01.01||3042.01|循环综授－备用信用证|CNY|43500000.000000||0606|0606|0.000000|2016开保字第00041号|2|2300000|20180702|
MD1630054784|收到保函|||国泰世华银行 香港分行|9000031||20161025|1002758||CNY|20000000.000000|20170313||||||||||0606|0606|0.000000||2|20000000.00|20180702|
MD1630901229|收到保函|||国泰世华银行 香港分行|9000031||20161104|1002187||CNY|2000000.000000|20170618||||||||||0606|0606|0.000000||2|2000000.00|20180702|
MD1630921150|收到保函|||国泰世华银行 香港分行|9000031||20161104|1002187||CNY|2000000.000000|20170715||||||||||0606|0606|0.000000||2|2000000.00|20180702|
MD1630958727|收到保函|||国泰世华银行 香港分行|9000031||20161104|1002187||CNY|2000000.000000|20170618||||||||||0606|0606|0.000000||2|2000000.00|20180702|
MD1632010098|收到保函|||台湾新光商业银行|9000079||20161114|9999999||USD|600000.000000|20170814||||||||||0606|0606|0.000000||2|600000.00|20180702|
MD1632359800|收到保函|||国泰世华银行 香港分行|9000031||20161118|1002187||CNY|500000.000000|20171117||||||||||0606|0606|0.000000||2|500000.00|20180702|
