NUM|CONSOLKEY|CRFTYPE|CRF_TXN_CODE|TID|PARENTBRCA|BRCA_CO|CCY|PSTA|DRCR|EXRATE|CURRMAR|ACCOFF|TRAT|PLCATE|PRODCA|SYSID|DESK|DLREF|OUREF|THREF|CSNM|COUNTERPARTY|VALD|PSTD|EXDATE|INPUTTER|AUTHORISER|RSMK|REMK|CURRNO|SYS_DATE|CATEGORY|SECTOR|TENOR|PRODCODE|
50110101|PL.50000.1131.3063..........CN0010606|||184810040244684.020001|0606|0606|USD|-3.400000|0|6.616600|1|9999|380|50000|1131|IC|||1060603000000355||1001150|||20180702||45_INPUTTER|45_INPUTTER|||1|20180702|50000|3063||1131|
50110101|PL.50000.1112.3203..........CN0010606|||184811060744674.060001|0606|0606|CNY|-0.090000|0||1|9999|380|50000|1112|IC|||1060602000003137||1001264|||20180702||48_INPUTTER|48_INPUTTER|||1|20180702|50000|3203||1112|
500105|PL.51500.21060.3063.ST.03002..00......CN0010611|51500|ACC|184430096371265.040001|0611|0611|CNY|277.780000|1||1|1|450|51500|21060|LD|00|LD1817170413|LD1817170413||1003314||20180701|20180702||43_INPUTTER|43_INPUTTER|||1|20180702|51500|3063|ST|21060|
50010202|PL.51001.21053.3049.MT.02102.UNSECU.00......CN0010608|51001|ACC|184432372871266.200001|0608|0608|CNY|134.790000|1||1|1|450|51001|21053|LD|00|LD1807280987|LD1807280987||1002955||20180701|20180702||39_INPUTTER|39_INPUTTER|||1|20180702|51001|3049|MT|21053|
500105|PL.51500.21060.3063.ST.03002..00......CN0010611|51500|ACC|184810387444526.010001|0611|0611|CNY|277.780000|1||1|1|450|51500|21060|LD|00|LD1817170413|LD1817170413||1003314||20180702|20180702||46_INPUTTER|46_INPUTTER|||1|20180702|51500|3063|ST|21060|
50010202|PL.51001.21053.3049.MT.02102.UNSECU.00......CN0010608|51001|ACC|184811975244528.030001|0608|0608|CNY|134.800000|1||1|1|450|51001|21053|LD|00|LD1807280987|LD1807280987||1002955||20180702|20180702||41_INPUTTER|41_INPUTTER|||1|20180702|51001|3049|MT|21053|
501104|PL.50000.6122.1002..........CN0010606|||184810387444666.000001|0606|0606|CNY|-5.340000|0||1|9999|380|50000|6122|IC|||1060606000001881||1000342|||20180702||46_INPUTTER|46_INPUTTER|||1|20180702|50000|1002||6122|
501102|PL.50000.6131.3049..........CN0010606|||184810387444671.060001|0606|0606|CNY|-71.930000|0||1|1|380|50000|6131|IC|||1060607000003287||1003771|||20180702||46_INPUTTER|46_INPUTTER|||1|20180702|50000|3049||6131|
501103|PL.50000.1101.1002..........CN0010606|||184811397744663.000001|0606|0606|CNY|-0.030000|0||1|9999|380|50000|1101|IC|||1060601000009918||1000190|||20180702||49_INPUTTER|49_INPUTTER|||1|20180702|50000|1002||1101|
59010202|PL.51001.21056.3112.MT.02402.SECU.00......CN0010606|51001|ACC|184430096371265.020001|0606|0606|CNY|313.860000|1||1|9999|450|51001|21056|LD|00|LD1630659627|LD1630659627||1001372||20180701|20180702||43_INPUTTER|43_INPUTTER|||1|20180702|51001|3112|MT|21056|
50010203|PL.51001.21056.3203.MT.02401.UNSECU.00......CN0010606|51001|ACC|184430433071265.120001|0606|0606|CNY|589.630000|1||1|1|450|51001|21056|LD|00|LD1636125480|LD1636125480||1002879||20180701|20180702||44_INPUTTER|44_INPUTTER|||1|20180702|51001|3203|MT|21056|
59010203|PL.51001.21056.3204.MT.02401.SECU.00......CN0010606|51001|ACC|184430433071266.050001|0606|0606|CNY|185.800000|1||1|1|450|51001|21056|LD|00|LD1708605001|LD1708605001||1002725||20180701|20180702||44_INPUTTER|44_INPUTTER|||1|20180702|51001|3204|MT|21056|
59010103|PL.51001.21052.3203.ST.02001.SECU.00......CN0010606|51001|ACC|184431704771266.240001|0606|0606|CNY|362.080000|1||1|9999|450|51001|21052|LD|00|LD1731277191|LD1731277191||1001191||20180701|20180702||37_INPUTTER|37_INPUTTER|||1|20180702|51001|3203|ST|21052|
59010202|PL.51001.21056.3112.MT.02402.SECU.00......CN0010606|51001|ACC|184810040244520.010001|0606|0606|CNY|313.870000|1||1|9999|450|51001|21056|LD|00|LD1630659627|LD1630659627||1001372||20180702|20180702||45_INPUTTER|45_INPUTTER|||1|20180702|51001|3112|MT|21056|
