NUM|IN_TYPE|TRADE_ID|TRADE_ID_T|BRCA|PARENTBRCA|BRCA_CO|PARENTBRCA_CO|CSNM|CTNM|DTYP|CCY|PSTA|PSTD|RSMK|REMK|TRADE_ID_O|VALD|CNLSC|SYS_DATE|
50031102|3|0606101000000163||0606|0606|0606|0606|1002140|天津港保税区国光国际贸易有限公司|1|CNY|286.8900|20171113||||20171113|GAR|20180702|
50031102|3|0606101000000183||0606|0606|0606|0606|1002140|天津港保税区国光国际贸易有限公司|1|CNY|495.8500|20171122||||20171122|GAR|20180702|
50031102|3|0606101000000223||0606|0606|0606|0606|1002140|天津港保税区国光国际贸易有限公司|1|CNY|164.3200|20171122||||20171122|GAR|20180702|
113212|2|0606101000000231||0606|0606|0606|0606|1002140|天津港保税区国光国际贸易有限公司|1|CNY|249.5900|20171130||||20171130|GAR|20180702|
113212|2|0606101000000241||0606|0606|0606|0606|1002140|天津港保税区国光国际贸易有限公司|1|CNY|215.7000|20171130||||20171130|GAR|20180702|
113212|2|0606101000000251||0606|0606|0606|0606|1002140|天津港保税区国光国际贸易有限公司|1|CNY|71.4800|20171130||||20171130|GAR|20180702|
113212|2|0606101000000275||0606|0606|0606|0606|1002140|天津港保税区国光国际贸易有限公司|1|CNY|249.5900|20171211||||20171211|GAR|20180702|
113212|2|0606101000000285||0606|0606|0606|0606|1002140|天津港保税区国光国际贸易有限公司|1|CNY|215.7000|20171219||||20171219|GAR|20180702|
113212|2|0606101000000311||0606|0606|0606|0606|1002140|天津港保税区国光国际贸易有限公司|1|CNY|246.2000|20171231||||20171231|GAR|20180702|
113212|2|0606101000000325||0606|0606|0606|0606|1002140|天津港保税区国光国际贸易有限公司|1|CNY|317.6800|20180103||||20180103|GAR|20180702|
22200202|1|0606S11100000272||0606|0606|0606|0606|1002597|中山广扬包装材料有限公司|1|CNY|6152.6900|20180306||||20180306|GAR|20180702|
22200202|1|0606S11100000312||0606|0606|0606|0606|1001957|东莞市康特金属制品有限公司|1|CNY|29439.4000|20180312||||20180312|GAR|20180702|
22200202|1|0606S11100000321||0606|0606|0606|0606|1002597|中山广扬包装材料有限公司|1|CNY|1649.1700|20180330||||20180330|GAR|20180702|
500110|1|0606S11100000322||0606|0606|0606|0606|1002597|中山广扬包装材料有限公司|1|CNY|1649.1700|20180330||||20180330|GAR|20180702|
22200202|1|0606S11100000331||0606|0606|0606|0606|1001957|东莞市康特金属制品有限公司|1|CNY|6470.2100|20180330||||20180330|GAR|20180702|
500110|1|0606S11100000332||0606|0606|0606|0606|1001957|东莞市康特金属制品有限公司|1|CNY|6470.2100|20180330||||20180330|GAR|20180702|
22200202|1|0606S11100000512||0606|0606|0606|0606|1001959|协昱电子科技（中山）有限公司|1|CNY|16443.1200|20180404||||20180404|GAR|20180702|
22200202|1|0606S11100000532||0606|0606|0606|0606|1001957|东莞市康特金属制品有限公司|1|CNY|22822.1900|20180410||||20180410|GAR|20180702|
22200202|1|0606S11100000552||0606|0606|0606|0606|1001957|东莞市康特金属制品有限公司|1|CNY|608.1800|20180410||||20180410|GAR|20180702|
22200202|1|0606S11100000572||0606|0606|0606|0606|1002597|中山广扬包装材料有限公司|1|CNY|10185.0100|20180411||||20180411|GAR|20180702|
22200202|1|0606S11100000592||0606|0606|0606|0606|1002597|中山广扬包装材料有限公司|1|CNY|4412.0700|20180411||||20180411|GAR|20180702|
22200202|1|0606S11100000612||0606|0606|0606|0606|1002631|中山中健环保包装股份有限公司|1|CNY|29688.0400|20180426||||20180426|GAR|20180702|
