CTNM|CTNMEN|ADDRESS|CSNM|CTNT|ISLOCAL|CS|PHONE|FAX|SMS|EMAIL|CADDRESS|ECAS|CRATING|PARENTBRCA|BRCA|CPTC|TAXPAYER_TYPE|BASIC_AC_BANK|BASIC_AC|NATIONALTAXLIC|TAX_ADDRESS|RECEIVE_ADDRESS|IS_INVOICE|TYPE_INVOICE|STATUS|CITP_USCC|CONTACTOR|ZIPCODE|INV_FREQ|SWIFTCODE|LNCARDID|TAXFREECODE|RISHRANK|SYS_DATE|
第一商业银行股份有限公司上海分行|FIRST COMMERCIAL BANK CO.,LTD|上海市长宁区荣华东道86-90号（双）西部二层|1001109|CHN|1|2124|86 -21 -3209861|- -|+||中国上海市长宁区上海市长宁区红宝石路500号东银中心大厦A栋15层01、04室|||0606|0606||1|中国银行股份有限公司上海市古北支行|436459213255|310043566569634|||N||4||陈金富|201103||||Z00|3|20180702|
国银金融租赁股份有限公司|CDB LEASING CO LTD|深圳市福田区益田路6009号新世界中心50-52层|1001302|CHN|1|2153|0755-23980908|- -|+||中国广东省深圳市深圳市福田区益田路6009号新世界中心50-52层|||0606|0606||1|中信银行深圳泰然支行|7442510182600026882||||Y||1|91440300619290064R|王学东|518026|3|||Z00|1|20180702|
中国工商银行首尔分行|INDUSTRIAL AND COMMERCIAL BANK OF CHINA SEOUL KR||1002209|CHN|1|2303||||||||0606|0606||||||||||5|||||ICBKKRSEXX|||3|20180702|
裕融企业股份有限公司|Taiwan Acceptance Corporation||1002300|TWN|2|2154||||||||0606|0613||||||||||5||||||TWN0000000043696||1|20180702|
裕隆汽车金融（中国）有限公司|YULON MOTOR FINANCE (CHINA) CO.,LTD||1002367|CHN|1|2155|||||中国浙江省杭州市杭州市萧山区萧山经济技术开发区东方世纪中心1301-1305室|||0606|0613||||||||||5|91330100MA27WXH69P||311215|||||3|20180702|
宁波银行股份有限公司|BANK OF NINGBO CO.,LTD.||1002435|CHN|1|2108||||||||0606|0606||||||||||5|||||BKNBCN2NSHA|||3|20180702|
北京银行股份有限公司|Bank of Beijing Co., Ltd.||1002471|CHN|1|2108||||||||0606|0606||||||||||5||||||||3|20180702|
招银金融租赁有限公司|CMB Financial Leasing Co.,Ltd|中国(上海)自由贸易试验区陆家嘴环路1088号22楼|1002482|CHN|1|2153|||||中国上海市浦东新区中国(上海)自由贸易试验区陆家嘴环路1088号22楼|||0606|0606||1|招商银行股份有限公司上海分行营业部|121906597510501|310115672707244|||N||1||连柏林|200000||||Z15|3|20180702|
建信金融租赁有限公司 |CCB FINANCIAL LEASING CO.,LTD.|北京市西城区闹市口大街长安兴融中心1号院4号楼6层|1002666|CHN|1|2153|||||中国北京市西城区北京市西城区闹市口大街长安兴融中心1号院4号楼6层|||0606|0606||1|中国建设银行股份有限公司北京兴融支行|11001028300053003521||||N||1|91110000710935214B|顾京圃|100032||||Z00|3|20180702|
建信金融租赁有限公司 |CCB Financial Leasing Corporation L||1002668|CHN|1|2153||||||||0606|0606||||||||||5|911110000710935214B|||||||3|20180702|
海通证券股份有限公司|Haitong Securities Company Limited ||1002812|CHN|1|2200||||||||0606|0607||||||||||5||||||||3|20180702|
上海泛圆投资发展有限公司|Shanghai Unicircle Investment & Dev||1002815|CHN|1|2204||||||||0606|0607||||||||||5||||||||3|20180702|
海通恒运国际租赁有限公司|Haitong hengyun||1002816|CHN|1|2154||||||||0606|0607||||||||||5||||||||3|20180702|
国家开发银行股份有限公司|CHINA DEVELOPMENT BANK CORPRATION||1002830|CHN|1|2106||||||||0606|0607||||||||||5||||||||3|20180702|
海航集团有限公司|HNA GROUP CO.LTD||1002832|CHN|1|2154||||||||0606|0607||||||||||5||||||||3|20180702|
乌鲁木齐银行股份有限公司|URUMQI COMMERCIAL BANK CO.LTD||1002838|CHN|1|2108||||||||0606|0607||||||||||5||||||||3|20180702|
四川金融租赁有限公司|SI CHUAN JINR RONG ZU LIN GU FEN ||1002839|CHN|1|2154||||||||0606|0607||||||||||5||||||||3|20180702|
中国再保险（集团）股份有限公司|CHINA REINSURANCE (GROUP) ||1002841|CHN|1|2211||||||||0606|0607||||||||||5||||||||1|20180702|
兴业金融租赁有限责任公司|INDUSTRIAL BANK FINANCIAL LEASING |天津经济技术开发区南港工业区创业路综合服务区办公楼D座一层110-11|1002894|CHN|1|2154|||||中国天津市天津市天津市滨海新区天津开发区第三大街51号W5-C1-2层|||0606|0606||1|兴业银行天津开发区支行|441110100100109629||||N||1|91120116559483517R|薛鹤峰|999999||||Z00|3|20180702|
兴业银行股份有限公司| Industrial Bank Co.,Ltd Industrial Bank Co.,Ltd||1002901|CHN|1|2108||||||||0606|0606||||||||||5||||||||3|20180702|
华融金融租赁股份有限公司|CHINA HUARONG FINANCIAL LEASING CO.,LTD.|杭州市曙光路122号世贸大厦六、七楼|1003054|CHN|1|2153|0571-87950365|0571-87950511|18868705657|YULEI@HRFLC.COM|中国浙江省杭州市浙江省杭州市曙光路122号世贸大厦六、七楼|||0606|0609|M0010H233010001|1|中国工商银行杭州市西湖支行|1202020409900021213||||Y||1|91330000734521665X|于蕾|310007|1|||Z00|1|20180702|
中国华融资产管理股份有限公司| China Huarong Asset Management Co. China Huarong Asset Management Co.||1003073|CHN|1|2405||||||||0606|0609||||||||||5|911100007109255774||100000|||||3|20180702|
上海浦东新区银盛小额贷款有限公司|SHANGHAI PUDONG YINSHENG||1003306|CHN|1|2150||||||||0606|0609||||||||||5|91310000598110764D|||||||3|20180702|
中信金融租赁有限公司|CITIC FINANCIAL LEASING CO.,LTD|天津市滨海新区中心商务区旷世国际大厦2-310|1003463|CHN|1|2154|||||中国天津市天津市北京市朝阳区东三环中路1号环球金融中心西塔17层|||0608|0608||1|中行|123456||||N||1|91120116328572416H|杨毓|300450|||1201160000448007|Z00|3|20180702|
中信银行股份有限公司|CHINA CITIC BANK||1003465|CHN|1|2108||||||||0608|0608||||||||||5|91110000101690725E|||||||3|20180702|
信诚人寿保险有限公司|CITIC PRUDENTIAL LIFE INSURANCE  CO.,LTD||1003467|CHN|1|2211||||||||0608|0608||||||||||5|91110000725010871G|||||||1|20180702|
中国建设银行股份有限公司|China Construction Bank ||1003477|CHN|1|2107||||||||0606|0606||||||||||5|911100001000044477|||||||1|20180702|
建信人寿保险股份有限公司|CCB LIFE CO.,LTD.||1003478|CHN|1|2211||||||||0606|0606||||||||||5|91310000607398772P|||||||3|20180702|
中德住房储蓄银行有限责任公司 | Sino-German Bausparkasse ||1003483|CHN|1|2118||||||||0606|0606||||||||||5|91120000710932400P|||||||3|20180702|
建信信托有限责任公司|CCB TURST CO.,LTD.||1003484|CHN|1|2152||||||||0606|0606||||||||||5|913401007568377241|||||||3|20180702|
