LCNO|LCTYPE|CTMN|CSMN|ISBK|ISDT|ADEXRYDATE|BEFC|BEFCNO|MALC|IOUN|CDCN|NGTB|SWIFTCODE|LCCR|LCAM|LCBL|LCTE|COMS|CHTP|GRTC|LINE_CODE|FTYP|FCCY|FCAM|BRCA|PARENTBRCA|BRCA_CO|TENOR_DAYS|BANK_PAY_FLG|SYS_DATE|
TF1713548090|ENSU|NANKANG (ZHANGJIAGANG FREE TRADE||9000103|20170512|20170620|上海逵迈纺织品有限公司|1000902||TF171354809001,||||USD|109340.000000000000|0.000000|23120|USD20.00,USD96.02,USD10.00,|LCLZZD,LCYFSD,LCEEMC,|||||||0606|0606||2|20180702|
TF1815873091|ENSU|NANKANG (ZHANGJIAGANG FREE TRADE||9000103|20180531|20180724|上海逵迈纺织品有限公司|1000902||TF181587309101,TF181587309103,TF181587309104,TF181587309105,||||USD|383020.000000000000|114450.440000|23120|USD104.25,USD5.00,USD82.39,USD5.00,|LCYFSD,LCEEMC,LCYFSD,LCEEMC,|||||||0606|0606||2|20180702|
TF1612000517|EUNU|TELLHOW SCI-TECH CO.,LTD.||9000054|20160426|20160620|OXYGEN TRADING CO.,LIMITED|1001137||TF161200051701,||||EUR|3700000.000000000000|0.000000|23140|||||||||0606|0606||2|20180702|
TF1612084752|ESU|CIA CAMPORSAL SA||9000055|20160229|20160529|青岛保税区恒嘉恺业进出口有限公司|1001248||TF161208475201,||||USD|63684.760000000000|0.000000|23110|||||||||0608|0608||2|20180702|
TF1615475264|ENSU|HUAGUANGKOREA||9000078|20160602|20160912|青岛荣源食品有限公司|1001443||||||USD|496800.000000000000|0.000000|23120|USD20.00,USD10.00,USD20.00,USD15.00,|LCLZZD,LCLZXG,LCLZCZ,LCXBDF,|||||||0608|0608||2|20180702|
TF1736147012|CDOS|CYL FOOD SDN BHD||9000111|20171227|20180625|青岛珍珍食品有限公司|1002720||TF173614701201,||||USD|36672.000000000000|0.000000|23212|||||||||0608|0608||2|20180702|
TF1733586347|CDOS|CYL FOOD SDN BHD||9000111|20171201|20180530|青岛珍珍食品有限公司|1002720||TF173358634701,||||USD|37168.000000000000|0.000000|23212|||||||||0608|0608||2|20180702|
TF1706913022|ESU|SILVER STAR CHEMICAL CO.,LTD||9000099|20170309|20170430|诺尔达贸易（上海）有限公司|1002980||TF170691302201,||||USD|64830.000000000000|0.000000|23110|CNY138.28,|LCLZZD,|||||||0606|0606||2|20180702|
TF1710819379|ESU|KHAN BROTHERS||9000100|20170320|20170617|诺尔达贸易（上海）有限公司|1002980||TF171081937901,||||USD|6800.000000000000|0.000000|23110|||||||||0606|0606||2|20180702|
TF1816237561|ENSU|SILVER STAR CHEMICAL CO.,LTD.||9000099|20180608|20180730|诺尔达贸易（上海）有限公司|1002980||TF181623756101,||||USD|42350.000000000000|0.000000|23120|||||||||0606|0606||2|20180702|
TF1808589100|ESU|SILVER STAR CHEMICAL CO.,LTD.||9000099|20180323|20180531|诺尔达贸易（上海）有限公司|1002980||TF180858910001,||||USD|38000.000000000000|0.000000|23110|||||||||0606|0606||2|20180702|
TF1804028652|ESU|KHAN BROTHERS||9000100|20180125|20180424|诺尔达贸易（上海）有限公司|1002980||TF180402865201,||||USD|10515.000000000000|0.000000|23110|||||||||0606|0606||2|20180702|
TF1720002783|EUNU|SILVER STAR CHEMICAL CO.,LTD.||9000099|20170718|20170831|诺尔达贸易（上海）有限公司|1002980||TF172000278301,||||USD|36800.000000000000|0.000000|23140|USD20.00,|LCLZZD,|||||||0606|0606||2|20180702|
TF1722749553|ESU|SILVER STAR CHEMICAL CO.,LTD.||9000099|20170814|20170828|诺尔达贸易（上海）有限公司|1002980||||||USD|80000.000000000000|0.000000|23110|USD20.00,USD20.00,USD15.00,|LCLZZD,LCLZCZ,LCXBDF,|||||||0606|0606||2|20180702|
TF1725581652|ESU|KHAN BROTHERS||9000100|20170822|20171118|诺尔达贸易（上海）有限公司|1002980||TF172558165201,||||USD|7657.500000000000|0.000000|23110|||||||||0606|0606||2|20180702|
TF1811057971|EUNU|GINTECH ENERGY CORPORATION||9000050|20180419|20180521|山东大海新能源发展有限公司|1004158||TF181105797101,TF181105797102,||||USD|499968.000000000000|253008.000000|23140|||||||||0606|0606||2|20180702|
TF1811356766|EUNU|GINTECH ENERGY CORPORATION||9000115|20180419|20180521|山东大海新能源发展有限公司|1004158||TF181135676601,TF181135676602,||||USD|460800.000000000000|0.000000|23140|||||||||0606|0606||2|20180702|
TF1811406573|EUNU|GINTECH ENERGY CORPORATION||9000050|20180424|20180531|山东大海新能源发展有限公司|1004158||TF181140657301,TF181140657302,||||USD|912384.000000000000|0.000000|23140|||||||||0606|0606||2|20180702|
TF1806805229|EUNU|GINTECH ENERGY CORPORATION||9000050|20180308|20180421|山东大海新能源发展有限公司|1004158||TF180680522901,TF180680522902,||||USD|958464.000000000000|0.000000|23140|USD20.00,|LCLZZD,|||||||0606|0606||2|20180702|
TF1808872781|EUNU|GINTECH ENERGY CORPORATION||9000109|20180329|20180421|山东大海新能源发展有限公司|1004158||TF180887278101,TF180887278102,TF180887278103,||||USD|1396224.000000000000|0.000000|23140|||||||||0606|0606||2|20180702|
TF1809200528|EUNU|GINTECH ENERGY CORPORATION||9000050|20180402|20180521|山东大海新能源发展有限公司|1004158||||||USD|1396224.000000000000|1396224.000000|23140|USD20.00,USD5.00,|LCLZZD,LCEEMC,|||||||0606|0606||2|20180702|
TF1734203078|EUNU|GINTECH ENERGY CORPORATION||9000113|20171207|20180202|山东大海新能源发展有限公司|1004158||TF173420307801,TF173420307802,TF173420307803,TF173420307804,||||USD|1177344.000000000000|0.000000|23140|||||||||0606|0606||2|20180702|
TF1734236670|ENSU|INVENTEC SOLAR ENERGY CORPORATION||9000114|20171208|20180306|山东大海新能源发展有限公司|1004158||TF173423667001,||||USD|258048.000000000000|0.000000|23120|||||||||0606|0606||2|20180702|
TF1733405405|EUNU|SOLARTECH ENERGY CORP.||9000108|20171130|20180119|山东大海新能源发展有限公司|1004158||TF173340540501,TF173340540502,TF173340540503,TF173340540504,TF173340540505,||||USD|1049630.400000000000|0.000000|23140|||||||||0606|0606||2|20180702|
TF1733417493|EUNU|GINTECH ENERGY CORPORATION||9000109|20171130|20180202|山东大海新能源发展有限公司|1004158||TF173341749301,TF173341749302,TF173341749303,TF173341749304,TF173341749305,TF173341749306,TF173341749307,TF173341749308,TF173341749309,TF173341749310,||||USD|2661120.000000000000|0.000000|23140|||||||||0606|0606||2|20180702|
TF1733451534|EUNU|GINTECH ENERGY CORPORATION||9000110|20171130|20180105|山东大海新能源发展有限公司|1004158||TF173345153401,||||USD|441504.000000000000|0.000000|23140|||||||||0606|0606||2|20180702|
TF1735648132|EUNU|TSEC CORPORATION||9000117|20171221|20180126|山东大海新能源发展有限公司|1004158||TF173564813201,||||USD|130032.000000000000|0.000000|23140|||||||||0606|0606||2|20180702|
