BILN|PAYEN|DRAC|PAYB|DAIS|MATD|BPTP|FCVU|NOTE|CMDT|ACPN|ACPT|PEFN|PEAC|PEOB|DICR|CCY|WART|CNLOBS|GRTC|LINE_CODE|FACT|FCCY|FAMT|BRCA|PARENTBRCA|BRCA_CO|BLNO|SYS_DATE|
3010005125534152|东风小康汽车有限公司|427616666018010014828|交通银行十堰分行营业部|20170222|20170822|2|1060000.00||1|交通银行十堰分行营业部|1|东风小康汽车有限公司沙坪坝分公司|110213786408|中行重庆沙支行井口分理处|4.80|CNY||||1003080.0004400.01|票据贴现(循环)||||0606|0606|BR1714734152|20180702|
1050005220437576|重庆瑞润电子有限公司|50001183600050208594|中国建设银行股份有限公司璧山支行|20170228|20170828|2|2105413.23||1|中国建设银行股份有限公司璧山支行|1|东莞胡连普光贸易有限公司|44001777908053009648|中国建设银行股份有限公司东莞大朗支行|4.80|CNY||||1003080.0004400.01|票据贴现(循环)||||0606|0606|BR1714737576|20180702|
1040005228490296|重庆长华汽车线束有限公司|114401709826|中国银行重庆江北支行营业部|20170308|20170908|2|700000.00||1|中国银行重庆江北支行营业部|1|东莞胡连普光贸易有限公司|44001777908053009648|中国建设银行东莞市大朗支行|4.80|CNY||||1003080.0004400.01|票据贴现(循环)||||0606|0606|BR1714790296|20180702|
3020005324801043|惠州市津惠汽车线束有限公司|7493310182600002786|中信银行惠州分行营业部|20170331|20170930|2|483793.82||1|中信银行惠州分行营业部|1|东莞胡连普光贸易有限公司|44001777908053009648|中国建设银行东莞分行大朗支行|5.10|CNY||||1003080.0004400.01|票据贴现(循环)||||0606|0606|BR1717001043|20180702|
3020005326304724|东风小康汽车有限公司|7389010182600014501|中信银行十堰分行营业部|20170222|20170822|2|2500000.00||1|中信银行十堰分行营业部|1|东风小康汽车有限公司重庆分公司|108810975344|中行重庆沙坪坝井口分理处|5.10|CNY||||1003080.0004400.01|票据贴现(循环)||||0606|0606|BR1717004724|20180702|
3020005326304725|东风小康汽车有限公司|7389010182600014501|中信银行十堰分行营业部|20170222|20170822|2|2500000.00||1|中信银行十堰分行营业部|1|东风小康汽车有限公司重庆分公司|108810975344|中行重庆沙坪坝井口分理处|5.10|CNY||||1003080.0004400.01|票据贴现(循环)||||0606|0606|BR1717004725|20180702|
3030005122843877|柳州悠进电装有限公司|79000188000111803|中国光大银行柳州分行|20170327|20170927|2|500000.00||1|中国光大银行柳州分行|1|东莞胡连普光贸易有限公司|44001777908053009648|中国建设银行东莞分行大朗支行|5.10|CNY||||1003080.0004400.01|票据贴现(循环)||||0606|0606|BR1717043877|20180702|
3030005122248285|河北安闻汽车零部件有限公司|50660188000130042|中国光大银行廊坊分行|20170410|20171010|2|745958.98||1|中国光大银行廊坊分行|1|东莞胡连普光贸易有限公司|44001777908053009648|中国建设银行东莞市分行大朗支行|5.10|CNY||||1003080.0004400.01|票据贴现(循环)||||0606|0606|BR1717048285|20180702|
130160300004120170622090819952|铁将军汽车电子有限公司|484602800018810106965|交通银行股份有限公司中山东凤支行|20170622|20170921|2|2251316.40||3|交通银行中山分行东凤支行|1|首科科技（深圳）有限公司|79080155300000852|上海浦东发展银行深圳分行中心区支行|4.95|CNY||||1003314.0004400.01|票据贴现(循环)|CNY|100000000.000000||0606|0606|BR1718819952|20180702|
110558509336820170628092458832|珠海市魅族科技有限公司|44001646335053001904|中国建设银行股份有限公司珠海金鼎支行|20170628|20170812|2|343519.75||3|中国建设银行股份有限公司珠海市分行|1|首科科技（深圳）有限公司|79080155300000852|上海浦东发展银行深圳分行中心区支行|4.95|CNY||||1003314.0004400.01|票据贴现(循环)|CNY|100000000.000000||0606|0606|BR1718858832|20180702|
110358100577720170621090480817|广州广电运输金融电子股份有限公司|44057701040005857|中国农业银行股份有限公司广州员村支行|20170621|20170918|2|300000.00||3|中国农业银行股份有限公司广州天河支行|1|首科科技（深圳）有限公司|79080155300000852|上海浦东发展银行深圳分行中心区支行|4.95|CNY||||1003314.0004400.01|票据贴现(循环)|CNY|100000000.000000||0606|0606|BR1718880817|20180702|
110329000335820171224141536545|上海加冷松芝汽车空调股份有限公司|03430500040000968|中国农业银行股份有限公司上海莘庄工业区支行|20171224|20180626|2|218004.47||3|中国农业银行股份有限公司上海莘庄工业区支行|1|苏州中成新能源科技股份有限公司|10543301040006419|中国农业银行吴江同里支行|5|CNY||||1004403.0004400.01|票据贴现(循环)|CNY|50000000.000000||0606|0606|BR1804036545|20180702|
130711002850520171122129841114|天津汽车模具股份有限公司|11016761426003|平安银行股份有限公司天津自有贸易试验区分行|20171122|20180521|2|500000.00||3|平安银行股份有限公司天津自有贸易试验区分行|1|鹤壁天汽模汽车模具有限公司|41001501415050201149|中国建设银行股份有限公司鹤壁湘江支行|5|CNY||||1004403.0004400.01|票据贴现(循环)|CNY|50000000.000000||0606|0606|BR1804041114|20180702|
131333393002120171228144345322|瑞安市世谱汽配贸易有限公司|76050122000128505|宁波银行股份有限公司温州瑞安支行|20171228|20180628|2|500000.00||3|宁波银行股份有限公司温州瑞安支行|1|苏州中成新能源科技股份有限公司|10543301040006419|中国农业银行吴江同里支行|5|CNY||||1004403.0004400.01|票据贴现(循环)|CNY|50000000.000000||0606|0606|BR1804045322|20180702|
110439304100720171130133774977|厦门金龙旅行汽车有限公司|422158380844|中国银行股份有限公司厦门湖里支行|20171130|20180530|2|107136.00||3|中国银行股份有限公司厦门湖里支行|1|厦门金龙新福达底盘有限公司|40340001040009042|中国农业银行股份有限公司厦门湖里支行|5|CNY||||1004403.0004400.01|票据贴现(循环)|CNY|50000000.000000||0606|0606|BR1804074977|20180702|
130361407900320171201134385138|方盛车桥（柳州）有限公司|79000188000072259|中国光大银行股份有限公司柳州分行|20171201|20180601|2|350000.00||3|中国光大银行柳州分行|1|广州瑞立科密汽车电子股份有限公司|121102516010004847|广发银行股份有限公司广州五羊新城支行|5|CNY||||1004403.0004400.01|票据贴现(循环)|CNY|50000000.000000||0606|0606|BR1804085138|20180702|
130331200001320180212165023803|高邮市八桥现代农业产业发展有限公司|50720188000253920|中国光大银行股份有限公司扬州分行|20180212|20190212|2|10000000.00||3|中国光大银行股份有限公司扬州分行|1|扬州本奇商贸有限公司|53810188000015196|中国光大银行股份有限公司高邮支行|4.90|CNY||||1004372.0004400.01|票据贴现(循环)|CNY|100000000.000000||0606|0606|BR1805523803|20180702|
130331200001320180212165025173|高邮市八桥现代农业产业发展有限公司|50720188000253920|中国光大银行股份有限公司扬州分行|20180212|20190212|2|10000000.00||3|中国光大银行扬州分行|1|扬州本奇商贸有限公司|53810188000015196|中国光大银行股份有限公司高邮支行|4.90|CNY||||1004372.0004400.01|票据贴现(循环)|CNY|100000000.000000||0606|0606|BR1805525173|20180702|
110345503120720180209162289276|山东科瑞石油装备有限公司|15312301040004769|中国农业银行股份有限公司东营东营区支行|20180209|20190209|2|10000000.00||3|中国农业银行股份有限公司东营东营区支行|1|山东科瑞机械制造有限公司|219508062678|中国银行股份有限公司东营市南支行|4.90|CNY||||1004372.0004400.01|票据贴现(循环)|CNY|100000000.000000||0606|0606|BR1805589276|20180702|
110345503130320180211163691729|山东金信新材料有限公司|15313001040007742|中国农业银行股份有限公司东营河口支行|20180211|20190211|2|10000000.00||3|中国农业银行股份有限公司东营河口支行|1|鹰晟国际贸易（上海）有限公司|121912866010201|招商银行上海分行外滩支行|4.90|CNY||||1004372.0004400.01|票据贴现(循环)|CNY|100000000.000000||0606|0606|BR1805591729|20180702|
110345503130320180211163691745|山东金信新材料有限公司|15313001040007742|中国农业银行股份有限公司东营河口支行|20180211|20190211|2|10000000.00||3|中国农业银行股份有限公司东营河口支行|1|鹰晟国际贸易（上海）有限公司|121912866010201|招商银行上海分行外滩支行|4.90|CNY||||1004372.0004400.01|票据贴现(循环)|CNY|100000000.000000||0606|0606|BR1805591745|20180702|
131311001002920180227166637545|中冶天工集团有限公司|0216700100120103015044|北京银行股份有限公司天津分行营业部|20180227|20190227|2|20000000.00||3|北京银行股份有限公司天津分行营业部|1|中冶天工集团有限公司上海南方分公司|31050168360000000293|中国建设银行股份有限公司上海宝钢宝山支行|5.10|CNY||||1004473.0004400.01|票据贴现(循环)|CNY|100000000.000000||0606|0606|BR1806637545|20180702|
131311001002920180227166638216|中冶天工集团有限公司|0216700100120103015044|北京银行股份有限公司天津分行营业部|20180227|20190227|2|20000000.00||3|北京银行股份有限公司天津分行营业部|1|中冶天工集团有限公司上海南方分公司|31050168360000000293|中国建设银行股份有限公司上海宝钢宝山支行|5.10|CNY||||1004473.0004400.01|票据贴现(循环)|CNY|100000000.000000||0606|0606|BR1806638216|20180702|
